"","repo_id","parent_id","full_name","counter","percentage","ALL","X0.75","X0.5","X0.25","X1.Commit"
"89",11179922,"1958","altanis/infinispan","1",0.5,"Hard","Hard","Social","Social","Social"
"90",11695653,"1958","slaskawi/infinispan","114",0.87,"Hard","Social","Social","Social","Social"
"91",12645588,"1958","Martinsos/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"92",21060540,"1958","ryanemerson/infinispan","320",1,"Social","Social","Social","Social","Social"
"93",22693558,"1958","anujshahwork/infinispan","0",0,"Hard","Hard","Hard","Hard","Hard"
"94",29096790,"1958","rigazilla/infinispan","11",1,"Social","Social","Social","Social","Social"
"95",46630288,"1958","tsegismont/infinispan","2",1,"Social","Social","Social","Social","Social"
"96",47533435,"1958","panossot/infinispan","2",1,"Social","Social","Social","Social","Social"
"97",57253008,"1958","zmyer/infinispan","2",0.2,"Hard","Hard","Hard","Hard","Social"
"98",58689463,"1958","karesti/infinispan","138",1,"Social","Social","Social","Social","Social"
"99",60779035,"1958","paoloantinori/infinispan","3",1,"Social","Social","Social","Social","Social"
"100",76686971,"1958","skymysky/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"101",83438281,"1958","diegolovison/infinispan","46",1,"Social","Social","Social","Social","Social"
"102",83794253,"1958","fax4ever/infinispan","5",1,"Social","Social","Social","Social","Social"
"103",91713993,"1958","haster/infinispan","2",1,"Social","Social","Social","Social","Social"
"104",107044107,"1958","oraNod/infinispan","64",1,"Social","Social","Social","Social","Social"
"105",124151723,"1958","gborp/infinispan","1",1,"Social","Social","Social","Social","Social"
"106",44309,"4143","Yofel/Essentials","2",0,"Hard","Hard","Hard","Hard","Hard"
"107",542894,"4143","Zenexer/Essentials","0",0,"Hard","Hard","Hard","Hard","Hard"
"108",1798125,"4143","riki652/Essentials","1",0,"Hard","Hard","Hard","Hard","Hard"
"109",1799726,"4143","nikooo14/Essentials","29",0.01,"Hard","Hard","Hard","Hard","Social"
"110",1868568,"4143","killed37/Essentials","30",0.01,"Hard","Hard","Hard","Hard","Social"
"111",2001118,"4143","skmedix/Essentials","2",0,"Hard","Hard","Hard","Hard","Hard"
"112",2625846,"4143","Skylexia/Essentials","1",0,"Hard","Hard","Hard","Hard","Hard"
"113",3509010,"4143","thekid23/Essentials","30",0.01,"Hard","Hard","Hard","Hard","Social"
"114",5504194,"4143","FearFree/Essentials","14",0,"Hard","Hard","Hard","Hard","Hard"
"115",5577470,"4143","KingFaris10/Essentials","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"116",6681816,"4143","wolfwork/Essentials","0",0,"Hard","Hard","Hard","Hard","Hard"
"117",17870394,"4143","TotalFreedom/TF-Essentials","0",0,"Hard","Hard","Hard","Hard","Hard"
"118",24109305,"4143","Agazed/Essentials","5",0.42,"Hard","Hard","Hard","Social","Social"
"119",35828409,"4143","nathampa0909/Essentials","6",1,"Social","Social","Social","Social","Social"
"120",44108866,"4143","md678685/Essentials","0",0,"Hard","Hard","Hard","Hard","Hard"
"121",44108886,"4143","N3FS/Essentials","189",0.96,"Hard","Social","Social","Social","Social"
"122",51056927,"4143","lucko/Essentials","3",1,"Social","Social","Social","Social","Social"
"123",58076961,"4143","SavageCore/Essentials","1",1,"Social","Social","Social","Social","Social"
"124",62258490,"4143","AwesomePowered/Essentials","2",0.33,"Hard","Hard","Hard","Social","Social"
"125",67984523,"4143","NJDaeger/Essentials","1",1,"Social","Social","Social","Social","Social"
"126",68005721,"4143","Minehut/Essentials","0",0,"Hard","Hard","Hard","Hard","Hard"
"127",69094490,"4143","delbertina/Essentials","36",0.42,"Hard","Hard","Hard","Social","Social"
"128",69687496,"4143","MagnaRisa/Essentials","28",1,"Social","Social","Social","Social","Social"
"129",69879173,"4143","phonyfakeorreal/Essentials","0",0,"Hard","Hard","Hard","Hard","Hard"
"130",71273305,"4143","coreequip/Essentials","2",0.5,"Hard","Hard","Social","Social","Social"
"131",73094269,"4143","FadeCloudNW/Essentials","1",0.5,"Hard","Hard","Social","Social","Social"
"132",73814554,"4143","CDAGaming/Essentials","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"133",79536808,"4143","MartenM/Essentials","2",0.5,"Hard","Hard","Social","Social","Social"
"134",246363,"5874","pallet/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"135",369898,"5874","amalloy/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"136",832567,"5874","hiredman/clojure","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"137",1789844,"5874","maxweber/clojure","1",1,"Social","Social","Social","Social","Social"
"138",1790335,"5874","scgilardi/clojure","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"139",3584343,"5874","clojure-android/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
