repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope,activity_new_ALL
57653240,14807988,1,NULL,NULL,0,1084,0,0,0,3,3,0,43,88,0,71,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0.786900369,2,0,841,43,Long-Heavy,Positive,0.882181578,Dead?
57672935,30777963,1,NULL,NULL,0,831,0,0,0,2,1,0,1,217,0,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.019253911,4,0,834,35,Short-Low,Positive,0.282871923,Dead?
57724987,16232,1,NULL,NULL,0,830,0,0,0,2,1,0,0,202,0,1,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001204819,6,0.892156863,787,3,Long-Low,Positive,0.064395288,Dead?
57759899,16232,1,NULL,NULL,0,830,0,0,0,2,1,0,0,202,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001204819,6,0,787,3,Long-Low,Positive,0.064395288,Dead?
57862288,14807988,1,NULL,NULL,0,829,0,0,0,3,2,0,14,22,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.018094089,4,0.465116279,841,43,Short-Low,Positive,0.882181578,Dead?
57968323,10425739,2,NULL,NULL,0,828,1,0,0,2,2,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.007246377,6,0.666666667,951,9,Short-Low,Positive,0.433635598,Dead?
58216133,17991525,1,NULL,NULL,0,825,0,0,0,2,2,0,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.037575758,3,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
58627788,17991525,1,NULL,NULL,0,821,0,1,0,2,1,0,0,204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.032886724,3,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
58697877,14807988,1,NULL,NULL,0,820,0,0,0,2,1,0,1,208,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.045121951,3,0.010989011,841,43,Short-Low,Positive,0.882181578,Dead?
58916443,4386034,1,NULL,NULL,0,817,0,0,0,2,1,0,0,213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.022031824,4,0,1091,14,Short-Heavy,Positive,0.098103055,Dead?
58938516,13874,1,NULL,NULL,0,817,0,0,0,2,1,0,0,202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.008567931,6,0.733333333,691,13,Long-Low,Positive,0.146874322,Dead?
58969176,35846,1,NULL,NULL,0,817,0,0,0,3,2,1,2,318,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.011015912,4,0.15,481,31,Long-Low,Positive,11.54349226,Dead?
