repo_id,age,new_jaccard,commit_count,K,,repo_id,age,new_jaccard,commit_count,K,,,Cluster #,Count,Age,Commits,Jaccard Distance
2020240,2055,0.636364,11,0,,86351590,495,0.617647,1,1,,,,,,,
2020243,3019,0.774194,46,0,,86798241,491,0.544118,86,1,,,,,,,
2020252,2424,0.774194,146,0,,87369020,485,0.446154,3,1,,,,,,,
2968918,2280,0.645161,21,0,,87571811,483,0.617647,4,1,,,,,,,
5477373,2068,0.741935,97,0,,87636278,481,0,12,1,,,,,,,
10250653,1815,0.545455,37,0,,88584483,473,0.316667,1,1,,,,,,,
13005489,1832,0.575758,13,0,,90529540,453,0.09434,1,1,,,,,,,
15919348,1578,0.575758,18,0,,90857292,450,0.160714,4,1,,,,,,,
28594208,1300,0.5,7,0,,90905222,450,0,3,1,,,,,,,
32424557,1198,0.483871,74,0,,91498629,444,0.544118,85,1,,,,,,,
328573,2601,0.8125,6,0,,47476551,971,0.211765,13,1,,,,,,,
559252,2469,0.823529,25,0,,49892599,940,0.211765,10,1,,,,,,,
712669,2459,0.733333,10,0,,70466985,676,0.211765,17,1,,,,,,,
1264321,2551,0,102,0,,87458956,485,0.211765,16,1,,,,,,,
1676106,3167,0.8125,173,0,,89437785,464,0.190476,11,1,,,,,,,
1676107,2312,0.8125,19,0,,96841678,394,0,34,1,,,,,,,
3463912,2225,0.8125,14,0,,99339365,488,0.190476,23,1,,,,,,,
9663742,1845,0.733333,31,0,,109784602,261,0.241379,60,1,,,,,,,
11664976,1741,0.8125,10,0,,43637384,1018,0.45,1,1,,,,,,,
13507295,1664,0.863636,638,0,,50738277,928,0,10,1,,,,,,,
20377078,1466,0.8125,13,0,,57510726,833,0.307692,17,1,,,,,,,
28260481,1307,0.8125,9,0,,60131916,804,0,76,1,,,,,,,
29107513,1285,0.8125,45,0,,66569203,725,0.236842,5,1,,,,,,,
31062067,1230,0.733333,68,0,,69343823,689,0.236842,5,1,,,,,,,
40353050,1065,0.777778,5,0,,80490928,562,0.210526,2,1,,,,,,,
46604191,978,0.733333,5,0,,80543661,562,0.210526,5,1,,,,,,,
49973655,939,0.733333,43,0,,102247307,339,0,2,1,,,,,,,
51929243,1845,0.733333,8,0,,109302710,266,0.081081,4,1,,,,,,,
58938516,817,0.733333,7,0,,109569498,263,0.105263,23,1,,,,,,,
62830588,772,0.733333,10,0,,112526480,236,0.081081,2,1,,,,,,,
63030932,770,0.733333,2,0,,120730860,163,0,8,1,,,,,,,
69201158,691,0.733333,16,0,,123711999,131,0,10,1,,,,,,,
74490492,627,0.733333,19,0,,126388258,103,0,3,1,,,,,,,
74820323,624,0.733333,16,0,,133919836,344,0,1,1,,,,,,,
75873349,612,0.733333,3,0,,12751097,1206,0.058824,184,1,,,,,,,
