full_name,repo_id,All,70%,90%,30%
kevinpollet/infinispan,1754045,Social,Social,Social,Social
Aegeaner/flink,75705115,Social,Social,Social,Social
youtube/YCSB,29951039,Hard,Hard,Hard,Social
mreram/java-client,107768167,Hard,Hard,Hard,Hard
an1310/infinispan,2349512,Social,Social,Social,Social
technology-studio-forks/react-native,152795717,Social,Social,Social,Social
steffenfriedrich/YCSB,62391735,Hard,Social,Social,Social
aljs/react-native,58175387,Social,Social,Social,Social
navssurtani/infinispan,1068787,Social,Social,Social,Social
sotayamashita/react-native,74978883,Social,Social,Social,Social
seybi87/YCSB,148612134,Hard,Social,Social,Social
paoloantinori/infinispan,86354163,Social,Social,Social,Social
normanmaurer/infinispan,16471305,Social,Social,Social,Social
pilot4u/react-native,142088472,Hard,Social,Social,Social
CorfuDB/Corfu-YCSB,50383155,Hard,Social,Social,Social
gustavonalle/infinispan,20231400,Hard,Social,Social,Social
dstmath/jadx,66148575,Hard,Social,Social,Social
TSDBBench/YCSB-TS,50921034,Hard,Hard,Hard,Social
jdegroot/PagerSlidingTabStrip,10932827,Hard,Hard,Hard,Hard
BrentDouglas/infinispan,2819063,Hard,Social,Social,Social
lerencao/reactor-core,155168424,Social,Social,Social,Social
shivam-maharshi/YCSB,59902951,Hard,Social,Social,Social
pureklkl/react-native,70218778,Hard,Social,Social,Social
mlinhard/infinispan,1374659,Social,Social,Social,Social
boldtrn/vtm,76753829,Social,Social,Social,Social
jaemyoun/YCSB,52499565,Hard,Social,Social,Social
ntent-ad/camus,21879032,Hard,Hard,Hard,Social
scottmarlow/infinispan,1054929,Social,Social,Social,Social
dlowder-salesforce/react-native,69368580,Social,Social,Social,Social
usrbowe/react-native,104972568,Hard,Social,Social,Social
julia-wei/infinispan,9865350,Social,Social,Social,Social
rsynek/drools,3560995,Hard,Social,Social,Social
voellm/YCSB,182937879,Hard,Social,Social,Social
dcreager/avro,949871,Social,Social,Social,Social
nd-02110114/react-native,150510947,Social,Social,Social,Social
ysnglt/YCSB,115449772,Hard,Social,Social,Social
tornado12345/react-native,72938359,Hard,Social,Social,Social
didona/infinispan,9840078,Social,Social,Social,Social
