repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope
55383147,59758,2,NULL,NULL,0,861,0,0,0,3,2,0,1,299,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.008130081300813,6,1,825,14,Long-Low,Positive,0.160053705764332
55403351,17991525,1,NULL,NULL,0,860,0,0,0,2,1,0,0,268,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004651162790698,6,0,843,8,Long-Low,Positive,0.252978138301902
55420722,30777963,1,NULL,NULL,0,860,1,2,0,2,2,0,0,204,0,1,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.079069767441861,3,0.973684210526316,834,35,Long-Heavy,Positive,0.282871922906097
55495697,17991525,1,NULL,NULL,0,859,0,0,0,2,1,0,0,202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0023282887078,6,0,843,8,Long-Low,Positive,0.252978138301902
55649262,17991525,1,NULL,NULL,0,857,0,1,0,2,1,0,0,213,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004667444574096,6,0,843,8,Long-Low,Positive,0.252978138301902
55650102,17991525,1,NULL,NULL,0,857,0,0,0,2,1,0,0,226,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004667444574096,6,0,843,8,Long-Low,Positive,0.252978138301902
55651655,35816410,1,NULL,NULL,0,857,0,0,0,2,1,0,0,202,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004667444574096,6,0,650.5,29,Long-Low,Negative,0.018858013811234
55661082,43106625,1,NULL,NULL,0,857,1,1,0,2,1,0,0,203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002333722287048,6,0,800,6,Long-Low,Positive,0.026557404005132
55718275,38843634,1,NULL,NULL,0,856,0,0,0,2,1,0,2,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.007009345794393,6,0.233009708737864,876,17,Short-Low,Positive,0.683771571378321
55728738,17991525,1,NULL,NULL,0,856,0,0,0,3,2,0,5,1102,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.008177570093458,6,0,843,8,Long-Low,Positive,0.252978138301902
55738201,7295625,1,NULL,NULL,0,856,0,0,0,2,1,0,14,214,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.011682242990654,4,0.302325581395349,1064,62,Short-Low,Positive,0.562479841124497
55738772,18740233,1,NULL,NULL,0,856,0,1,0,2,1,0,0,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.015186915887851,4,0.418604651162791,723,23,Long-Low,Negative,0.191137944612415
55792834,14807988,1,NULL,NULL,0,855,3,1,0,4,4,0,24,239,1,23,6,668,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0.170760233918129,2,0.640692640692641,841,43,Long-Heavy,Positive,0.88218157847057
55819751,10425739,1,NULL,NULL,0,855,0,0,0,2,1,0,0,239,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.005847953216374,6,0.666666666666667,951,9,Short-Low,Positive,0.433635598339868
55858908,38843634,1,NULL,NULL,0,854,0,0,0,4,4,0,16,426,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.02576112412178,4,0.230769230769231,876,17,Short-Heavy,Positive,0.683771571378321
55871900,28602846,1,NULL,NULL,0,854,0,0,0,2,1,0,2,374,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.005854800936768,6,0.8125,479,7,Long-Low,Positive,1.68247478308047
55922696,40930,2,51246816,1,1,853,0,0,0,3,2,0,0,270,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.01641266119578,4,0.4,1216,30,Short-Low,Negative,0.271371616382802
55970931,7118,1,NULL,NULL,0,852,0,0,0,2,1,0,0,205,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.007042253521127,6,0,796,14,Long-Low,Positive,0.06975508472212
55986807,45297,1,NULL,NULL,0,852,0,0,0,3,3,0,12,336,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.028169014084507,4,0.357142857142857,752,23,Long-Heavy,Positive,0.748281628504537
56059563,17991525,1,NULL,NULL,0,851,0,0,0,2,1,0,5,879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.005875440658049,6,0,843,8,Long-Low,Positive,0.252978138301902
